G3,-7,[H]N1OC2=C(C=C1)C=CC(=C2)c1cc(N)c(cc1Cl)S(=O)(=O)n1cccc1C(=O)OCC
G4,-6.8,[H]N1OC2=C(C=C1)c1cc(C(=O)OCC)n(Sc3cc(Cl)ccc3N)c1C=C2 
G5,-6.7,[H]N1OC2=C(C=CC=C2)[c]2=[c]1c(N)c(cc2Cl)S(=O)(=O)n1cccc1C(=O)OCC
G6,-6.7,[H]N1OC2=C(C=C1)C=C(OCC)[c]1=[c]2ccn1S(=O)(=O)c1cc(Cl)ccc1N
G7,-6.5,[H]N1OC2=C(C=C1)C(=CC=C2)c1ccc(Cl)cc1S(=O)(=O)n1cccc1C(=O)OCC
G8,-7.4,[H]N1OC2=C(C=CC=C2COC(=O)c2cccn2S(=O)(=O)c2cc(Cl)ccc2N)C=C1
G9,-6.8,[H]N1OC2=C(C=C1)[c]1=[c](C=C2)n(c(c1)C(=O)OCC)S(=O)(=O)c1cc(Cl)ccc1N
G10,-7.4,[H]N1OC2=C(C=C1)C=C(C)C=C2c1cccn1S(=O)(=O)c1cc(Cl)ccc1N
H1 ,-8.5,C(=O)(C(=O)OC(=O)c1cccn1S(=O)(=O)c1c(ccc(c1)Cl)N)C1CNCCN1
H2,-8.3,C(=O)(C(=O)OC(=O)c1cccn1S(=O)(=O)c1c(cc(c(c1)Cl)C(=O)C=O)NN1CCNCC1)[C@H]1C(=O)N[C@@H](C(=O)N1)C#P
H3,-6.8,Nc1c(cc(Cl)cc1)S(=O)(=O)n1cccc1C(=O)OC(=O)C(=O)[C@H]1CNCCN1
H4,-6.4,CCOC(=O)C1=CC=CN1S(=O)(=O)C1=C(N)C=C(C2CNCCN2)C(Cl)=C1
H5,-6.9,C(=O)(C(=O)OC(=O)c1cccn1S(=O)(=O)c1c(c(cc(c1C=O)Cl)C=O)N)C(=O)[C@@H]1CN[C@@H](CN1)C(=O)C=O
H6,-8.7,C(=O)[C@H](OC(=O)c1cccn1S(=O)(=O)c1c(cc(c(c1)Cl)C=O)N)[C@H]1CN[C@@H](CN1)C(=O)C=O
H7,-7.5,C1(=O)CNC(=O)CN1C(=O)C(=O)c1cc(c(S(=O)(=O)n2c(C(=O)OC(=O)C=O)ccc2)cc1Cl)N
H8,-6.4,C(#P)C(=O)OC(=O)c1cccn1S(=O)(=O)c1c(cc(c(c1)Cl)C(=O)C=O)NN1CCNCC1
H9,-7.4,C(OC(=O)c1cccn1S(=O)(=O)c1c(cc(c(c1)Cl)C(=S)C#N)NC#P)N1CCNCC1
H10,-8,C1[C@H](NC[C@H](N1)C(=O)C(=N)OC(=O)c1cccn1S(=O)(=O)c1c(ccc(c1C(=O)C(=O)[C@H]1CNCCN1)Cl)N)C#P
I1,-7.3,C(=CS(=O)(=O)c1ccc(cc1)C(=C(c1ccccc1)O)O)=O
I2,-6.8,C(=CS(=O)(=O)c1ccccc1)c1ccc(C=C)cc1
I3,-7,C(=C(\S(=O)(=O)c1ccccc1)O)(C(=C(c1ccccc1)O)O)O
I4,-7.5,C(=C(\S(=O)(=O)c1ccc(cc1)C(=O)C=O)/O)\C=C(/c1ccc(cc1)C(=O)C=O)\O
I5,-6.6,C=CS(=O)(=O)c1ccc(cc1)c1ccc(C=C)cc1
I6,-7.3,C=C[S@@](=O)(c1ccc(cc1)C(=O)S(=O)(=O)C=O)C/C=C\c1ccc(cc1)[C@H](O)S(=O)(=O)CO
I7,-5.6,C=C[S@@](=O)(c1ccccc1)C/C=C\c1ccccc1
I8,-7.3,C(=C\S(=O)(=O)c1ccccc1)/C(=O)SC(=O)c1ccc(C=C)cc1
I9,-7.4,C(=C\S(=O)(=O)c1ccc(cc1)C(=O)C=O)/N/C=C\c1ccccc1
I10,-7.3,C(=C\S(=O)(=O)c1ccc(cc1)C(=O)S(=O)(=O)C=O)\N/C=C\c1ccccc1
J1,-6,O=S(=O)(OC1=CC=CC=C1)C1=CC=NC=N1
J2,-6.2,C=CS(=O)(=O)OC1=CC2=C(C=C1)C=NC=N2
J3,-5.9,C=CS(=O)(=O)C1=c2ncncc2=CC=C1
J4,-1.8,NSOc1nc(=CS(=O)(=O)C2=c3ncncc3=CC=C2)c2=CC=CC(=c2n1SSN)S(=O)(=O)C=C
J5,-7.9,Nc1nc2=C(C=CC=c2c\c1=C/S(=O)(=O)C1=c2ncncc2=CC=C1)S(=O)(=O)C=C
J6,-7,C1=C/S(=O)(=O)c2ccc(cc2)c2ccnc1n2
J7,-6.3,C=CS(=O)(=O)C1=CC2(CC=CN=C2)CC=C1
J8,-6.4,C=CS(=O)(=O)C1=CC2(CC=C1)NC=NC=C2
J9,-6.5,CC1(CN=CN=C1)S(=O)(=O)C1=CC=CC=C1
J10,-6.8,C=CS(=O)(=O)C1=CN2C=NCN3C=CCN(C1)C23
K1,-8.4,C(=C(S(=O)(=O)Oc1c(ccc(c1)F)F)N1C=Cc2c(c(ccc2F)F)O1)=O
K2,-7.6,C(=C(S(=O)(=O)Oc1ccc(cc1)Cl)N1C=Cc2c(ccc(c2)Cl)O1)(F)F
K3,-8.4,C(=C(S(=O)(=O)Oc1c(ccc(c1)C#N)F)N1C=Cc2c(c(ccc2C#N)F)O1)=O
K4,-8,C(=C(S(=O)(=O)Oc1cccc(c1)N1C=Cc2c(c(cc(c2)F)F)O1)F)=O
K5,-7,C(=CS(=O)(=O)Oc1ccc(c(c1F)N1C=C(c2c(cccc2F)O1)F)F)=NF
K6,-8.8,C(=CS(=O)(=O)Oc1c(cc(cc1)C(=O)c1cc(c2c(c1)C=C(N(O2)F)F)F)F)=O
K7,-8.3,C(=C(S(=O)(=O)Oc1cc(c(cc1)F)F)N1C=Cc2c(cc(c(c2)F)F)O1)(F)F
K8,-6.9,C(=C(\S(=O)(=O)Oc1cccc(c1)F)/ON1C=C(c2c(cccc2F)O1)F)(\C#N)/F
K9,-9.2,C(=C(\S(=O)(=O)Oc1ccc(cc1)c1cc(c2c(C=CNO2)c1F)F)/F)(\N1C=Cc2c(c(ccc2F)F)O1)/F
K10,-9.1,C(=C(S(=O)(=O)Oc1ccc(cc1)N1C=Cc2c(c(ccc2F)F)O1)F)=O
L1,-6.9,C(=C\S(=O)(=O)Oc1ccccc1)\[C@@H]1CNC(=O)CN1
L2,-6.3,C(=C(\S(=O)(=O)Oc1ccccc1)/[C@H]1CNCCN1)(/C#N)\O
L3,-6.6,C(=C(\S(=O)(=O)Oc1ccccc1)/[C@H]1CNCCN1)(\C=O)/C(=O)F
L4,-7.4,C(=C(\S(=O)(=O)Oc1ccccc1)/F)(/[C@H]1CNC(=O)CN1)\F
L5,-7.3,C(=C(S(=O)(=O)Oc1ccc(cc1)C(=O)[C@@H]1NCCNC1)F)=O
L6,-6.7,C=CS(=O)(=O)Oc1ccc(cc1)[C@@H]1NCCNC1
L7,-1.2,C1CN(CCN1)c1ccc(OS(=O)(=O)C(=C=NF)F)cc1
L8,-6.8,C1CN(CCN1)C(=C)S(=O)(=O)Oc1ccc(cc1)C#N
L9,-7.2,C(=C(S(=O)(=O)Oc1c(ccc(c1)N1CCNCC1)F)F)=O
L10,-7.8,C1C(=C=C(S(=O)(=O)Oc2cc(cc(c2)F)F)C(F)(F)F)NCC(=O)N1
M1,-7.6,C(=C\S(=O)(=O)OCc1ccccc1)\C=C/c1ccccc1
M2,-6.5,C(=C(S(=O)(=O)OC(=O)c1ccccc1)c1ccc(C(=C=O)F)cc1)=O
